zf_bh,gjdq,zm
31080005258,496,201
31080005259,496,201
31080008584,704,201
31080008608,704,201
31110013601,360,124
31110019171,188,201
31110027045,124,206
31110034713,566,124
31110039518,410,152
31110051385,566,124
31110052683,124,316
31110066986,608,200
31110105642,410,207
31110106764,410,316
31110111999,124,86
31110647209,586,121
31110019168,170,201
31110019300,170,201
31110022687,458,124
31110022688,458,124
31110026451,458,4146
31110035436,410,166
31110045210,410,4151
31110055168,410,152
31110066988,458,201
31110079512,36,152
31110095997,410,166
31110102899,704,201
31110107895,840,153
31115001414,410,4151
31115007155,12,201
31115114169,100,1
31115116346,586,200
31115121251,392,206
31115126884,702,102
31115132318,702,271
31080007312,704,201
31080008167,704,201
31080008611,704,201
31080008613,704,201
31085115443,36,60
31085123845,704,201
31085138640,360,201
31110054152,144,124
31110061073,643,153
31110073485,840,116
31110080375,584,123
31110081835,566,316
31110084531,608,340
31110107523,458,209
31110111546,430,202
31115009797,124,272
31115116078,4,268
31080008612,704,201
31110015039,608,201
31110041730,702,153
31110054138,586,166
31110070735,554,153
31110079508,496,201
31110095195,702,119
31110102897,704,201
31115128242,704,201
31115129124,840,268
31050000010,364,200
31060033653,120,202
31080004443,566,124
31080008614,704,201
31085003896,834,316
31110025242,826,142
31110042694,458,1
31110045211,458,152
31110069695,826,164
31110076371,288,202
31115120272,410,78
31080008610,704,201
31085114246,840,164
31110019167,170,201
31110019878,840,146
31110023327,840,152
31110023917,178,121
31110074795,458,1
31110082145,458,207
31115005261,496,233
31115009300,704,201
31115010097,410,201
31115126890,288,316
31110003212,458,124
31110052051,418,166
31110061071,120,202
31110097143,702,206
31115010102,792,271
31115115096,704,214
31115126883,702,102
31080004208,120,124
31080007313,704,201
31085009389,704,201
31110016284,458,124
31110018511,604,201
31110019172,170,201
31110041729,702,153
31110051384,410,171
31110090789,458,4146
31110096538,410,4
31110101806,392,4151
31110106765,410,163
31110648351,458,124
31115008019,120,202
31115010098,792,271
31050000606,356,201
31060028742,364,202
31060037947,520,152
31080008605,704,201
31110019301,170,201
31110025716,458,124
31110040165,458,124
31110066985,608,200
31110070402,12,200
31110071166,496,201
31110071758,752,152
31110078285,356,166
31110098106,704,201
31110102653,410,152
31115003526,702,206
31115120275,704,201
31115125610,250,203
31085130258,704,201
31110011044,392,162
31110020428,458,124
31110023914,178,121
31110039517,458,124
31110051386,288,124
31110059004,840,97
31110064050,36,152
31110066984,608,200
31110070403,12,200
31110072139,356,166
31110082807,702,206
31110089522,702,206
31110111545,76,271
31115001411,840,169
31115007160,250,271
31115053213,840,202
31115116867,36,162
31115126401,840,153
31115128244,704,201
31115133052,840,268
31080006276,360,200
31110003211,458,124
31110016285,458,124
31110020176,458,124
31110024049,508,122
31110025717,458,124
31110046921,716,166
31115009299,826,141
31115009302,704,201
31115135739,360,201
31110019169,170,201
31110020431,458,124
31110023915,458,124
31110024391,840,202
31110024767,586,201
31110054151,356,124
31110082149,36,153
31110095998,840,268
31110107896,566,16
31115010099,792,271
31115010103,792,271
31115114171,100,1
31115120274,704,201
31115136294,566,316
31080002316,360,153
31080004578,604,201
31110019170,604,201
31110019299,170,201
31110020429,458,124
31110036909,604,201
31110037216,208,202
31110070404,392,152
31110071164,496,201
31110076369,392,152
31110076370,826,166
31110085518,410,166
31110098107,704,201
31110106609,250,86
31115009298,4,268
31115114295,642,152
31115133254,410,201
31085006716,862,200
31110019173,170,201
31110020427,458,124
31110028951,458,4146
31110033691,566,124
31110036000,604,201
31110042693,124,153
31110051075,120,201
31110070734,120,166
31110082148,840,4146
31110082150,840,124
31115007754,704,201
31115009301,704,201
31115123863,704,201
31115129127,124,201
31080004209,566,124
31110003213,458,124
31110019175,170,201
31110019176,170,201
31110027889,410,152
31110036908,604,201
31110047866,410,170
31110048532,458,124
31110053886,704,124
31110054148,144,124
31110093921,458,268
31110105062,250,201
31110647904,840,164
31115006788,642,4146
31115006790,642,4146
31115009297,231,166
31115010100,792,271
31115114300,36,206
31115116870,124,152
31115133851,410,201
31050000602,840,164
31080005257,496,201
31080006275,360,200
31085128238,704,201
31110019302,170,201
31110026643,458,124
31110026644,458,124
31110036001,604,201
31110055169,702,153
31110080070,826,202
31110084733,36,202
31110110772,840,164
31115008461,364,153
31115130856,250,233
31115135115,360,201
31080008602,704,201
31080008607,704,201
31085010223,792,271
31110003711,36,153
31110014863,466,202
31110015037,608,201
31110017165,458,124
31110017571,120,202
31110041728,702,153
31110064053,554,202
31110066987,608,200
31110066989,392,124
31110083654,840,201
31110112180,566,316
31115113513,36,202
31115135114,566,316
31050000022,40,162
31080003577,170,201
31080005149,608,330
31080008604,704,201
31110024770,586,201
31110046920,458,124
31110080066,528,202
31110087127,704,201
31110102136,108,201
31115007154,12,201
31115123866,704,201
31115125150,120,202
31115133053,458,268
31010006003,840,316
31085120270,704,201
31110018512,170,201
31110020430,458,124
31110080661,586,268
31110085521,148,166
31110102900,704,201
31110102901,704,268
31110104864,124,124
31115127614,840,202
31115128246,704,201
31115134801,392,162
31080004260,360,200
31080004500,643,328
31110034537,410,340
31110036005,484,201
31110036006,458,200
31110039516,458,124
31110057607,288,124
31110066983,608,200
31110081532,566,202
31110087126,704,201
31110096007,702,153
31115007753,704,201
31115123236,392,166
31080008606,704,201
31085009388,704,201
31110015597,36,153
31110055032,586,166
31110092416,694,166
31115006787,642,4146
31115125605,702,152
31115126886,702,102
31050000601,484,202
31080004442,566,124
31080009495,764,201
31085128239,704,201
31110015038,608,201
31110018875,410,124
31110024390,392,162
31110039515,458,1
31110039821,392,152
31110040687,120,201
31110040688,120,201
31110054578,608,166
31110071165,496,201
31110073095,458,153
31110073486,56,268
31115136293,566,316
31050000012,400,200
31080008603,704,201
31085010222,792,271
31110016283,458,124
31110019298,170,201
31110020861,124,73
31110054153,144,124
31110054579,410,340
31110059469,408,201
31110098105,410,152
31110108134,392,166
31115006789,840,200
31115124607,124,86
31085136639,608,268
31110016286,458,124
31110019174,170,201
31110024768,586,201
31110040686,410,247
31110044183,392,164
31110059921,504,164
31110074794,458,124
31110080065,410,124
31110109486,430,202
31115007752,704,201
31115124392,268,200
31080005481,144,124
31080008609,704,201
31110014311,410,162
31110022843,4,201
31110073094,360,153
31110080064,496,201
31110102896,704,201
31110102898,704,201
31110648452,458,124
31115010101,792,271
31115133853,410,201
31150904389,408,201
31050000011,604,201
31060039395,586,201
31110011045,702,202
31110019178,170,201
31110022689,124,152
31110040166,458,124
31110050605,643,164
31110066112,840,164
31110093462,392,200
31110104865,124,124
31115133850,410,201
31050000009,120,200
31060028743,840,69
31085003528,324,316
31085130257,704,201
31110001967,458,124
31110018240,480,207
31110024769,586,201
31115123865,704,201
